ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
188,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
332,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
217,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
386,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
218,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
100,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
395,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
382,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
374,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
339,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
157,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
68,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
401,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
263,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
1,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
426,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
172,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
310,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
280,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
287,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
392,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
409,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
329,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
38,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
398,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
87,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
378,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
241,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
277,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
333,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
21,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
109,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
364,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
198,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
121,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
249,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
273,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
150,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
115,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
291,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
